"name","noc","discipline","event"
"JAUMA CAYUELA Esther","Netherlands","Artistic Swimming","Duet"
"JENNINGS Dee","Australia","Hockey",""
"JIA Xiuquan","People's Republic of China","Football","Women"
"JIMENEZ NIETO Cecilia","Spain","Artistic Swimming",""
"JOHNSON Vickie","United States of America","Basketball",""
"JONES Chris","Canada","Baseball/Softball","Softball"
"JONES Nathan","Australia","Baseball/Softball","Softball"
"KANEKO Makoto","Japan","Baseball/Softball","Baseball"
"KANG Jae Won","Republic of Korea","Handball","Women"
"KAWASE Asaki","Japan","Football",""
"KAZAMA Takafumi","Japan","Football",""
"KELLER Florian","Germany","Hockey","Women"
"KERRY Danny","Great Britain","Hockey","Men"
"KIM Chanbin","Republic of Korea","Football",""
"KIM Hagbum","Republic of Korea","Football","Men"
"KIRALY Karch","United States of America","Volleyball","Women"
"KIRKELY Ulrik","Japan","Handball","Women"
"KIRKPATRICK Andrew","Australia","Baseball/Softball","Softball"
"KITABAYASHI Kenji","Japan","Handball",""
"KLARENBEEK Auke","Netherlands","Handball",""
"KONSTANTINOV Aleksei","ROC","Volleyball",""
"KRIKORIAN Adam","United States of America","Water Polo","Women"
"KRUMBHOLZ Olivier","France","Handball","Women"
"KULESZA Katarzyna","Canada","Artistic Swimming","Team"
"KUNTZ Stefan","Germany","Football","Men"
"KUZIN Andrey","ROC","Rugby Sevens","Women"
"LAIDLAW Clark","New Zealand","Rugby Sevens","Men"
"LAMAS Julio","Japan","Basketball","Men"
"LANG Ping","People's Republic of China","Volleyball","Women"
"LAVARINI Stefano","Republic of Korea","Volleyball","Women"
"LAZARO CORRAL Jesus","Spain","Basketball",""
"LOCK Adrian Mayner","Spain","Hockey","Women"
"MACKINTOSH Euan Michael Gordon","People's Republic of China","Rugby Sevens","Women"
"MAEDA Kenzo","Japan","Basketball",""
"MAKIRI Hare","Japan","Rugby Sevens","Women"
"MANENTI John","Australia","Rugby Sevens","Women"
"MARCZ Tamas","Hungary","Water Polo","Men"
"MARTIN LOZANO David","Spain","Water Polo","Men"
"MATSUNO Yoshiyuki","Japan","Basketball",""
"MATSUODANI Yasushi","Japan","Football",""
"MAYBURY Elena","United States of America","Football",""
"MAYONNADE Emmanuel","Netherlands","Handball","Women"
"MAZZANTI Davide","Italy","Volleyball","Women"
"MENGUAL CIVIL Gemma","Spain","Artistic Swimming",""
"MEZHENINA Valeriia","Ukraine","Artistic Swimming","Team"
"MEZIANE Rachid","France","Basketball",""
"MIHAILOVIC Predrag","Australia","Water Polo","Women"
"MIRET GARCIA Daniel","Spain","Basketball",""
"MIURA Keiko","Japan","Hockey","Women"
"MIYAKAWA Miya","Japan","Artistic Swimming",""
"MONDELO GARCIA Lucas","Spain","Basketball","Women"
"MONTICO Loredana","Australia","Artistic Swimming","Duet"
"MONTICO Loredana","Australia","Artistic Swimming","Team"
